(28, 28, 10, 360.84345636300515)
(28, 28, 10, 360.84345636300515)
(28, 28, 22, 360.84345636300515)
(28, 28, 10, 360.84345636300515)
(28, 29, 10, 359.44679717588247)
(29, 28, 20, 360.84345636300515)
(28, 28, 10, 360.84345636300515)
(28, 28, 10, 360.84345636300515)
(28, 27, 10, 362.24025176669699)
(27, 29, 1, 359.44679717588247)
(29, 29, 20, 359.44679717588247)
(29, 29, 20, 359.44679717588247)
(29, 28, 20, 360.84345636300515)
(28, 28, 10, 360.84345636300515)
(28, 28, 10, 360.84345636300515)
(28, 28, 10, 360.84345636300515)
(28, 28, 10, 360.84345636300515)
(32, 32, 16, 355.25765297879229)
(32, 56, 22, 321.79496577790025)
(56, 48, 21, 332.93843274695701)
(48, 40, 14, 344.0930106817051)
(44, 43, 5, 339.90881130091344)
(43, 60, 2, 316.22776601683796)
(60, 48, 17, 332.93843274695701)
(48, 51, 0, 328.75826985796112)
(51, 42, 22, 341.30338410276568)
(42, 42, 0, 341.30338410276568)
(42, 42, 0, 341.30338410276568)
(42, 42, 0, 341.30338410276568)
(42, 49, 20, 331.54486875836278)
(49, 40, 22, 344.0930106817051)
(40, 24, 1, 366.43143969916116)
(24, 33, 11, 353.86155484878543)
(33, 41, 6, 342.6981178821967)
(41, 59, 17, 317.61926893688297)
(59, 51, 0, 328.75826985796112)
(51, 43, 13, 339.90881130091344)
(43, 51, 2, 328.75826985796112)
(51, 36, 13, 349.67413401622946)
(36, 27, 21, 362.24025176669699)
(27, 43, 8, 339.90881130091344)
(43, 51, 2, 328.75826985796112)
(51, 44, 10, 338.51440146617102)
(44, 44, 5, 338.51440146617102)
(44, 44, 5, 338.51440146617102)
(44, 44, 5, 338.51440146617102)
(44, 44, 5, 338.51440146617102)
(44, 44, 5, 338.51440146617102)
(44, 44, 5, 338.51440146617102)
(44, 44, 5, 338.51440146617102)
(44, 44, 5, 338.51440146617102)
(44, 44, 5, 338.51440146617102)
(44, 44, 5, 338.51440146617102)
(44, 44, 5, 338.51440146617102)
(44, 34, 21, 352.46560115846768)
(34, 41, 24, 342.6981178821967)
(41, 41, 17, 342.6981178821967)
(41, 41, 17, 342.6981178821967)
(41, 41, 17, 342.6981178821967)
(41, 41, 17, 342.6981178821967)
(41, 41, 17, 342.6981178821967)
(41, 41, 17, 342.6981178821967)
(41, 41, 17, 342.6981178821967)
(41, 41, 17, 342.6981178821967)
(41, 41, 8, 342.6981178821967)
(41, 41, 17, 342.6981178821967)
(41, 34, 12, 352.46560115846768)
(34, 41, 24, 342.6981178821967)
(41, 41, 17, 342.6981178821967)
(41, 41, 17, 342.6981178821967)
(41, 41, 17, 342.6981178821967)
(41, 41, 17, 342.6981178821967)
(41, 41, 17, 342.6981178821967)
(41, 41, 17, 342.6981178821967)
(41, 41, 17, 342.6981178821967)
(41, 42, 15, 341.30338410276568)
(42, 42, 0, 341.30338410276568)
(42, 49, 24, 331.54486875836278)
(49, 32, 22, 355.25765297879229)
